ID;Curso;Nome;Periodo ;Disciplinas;SEG;TER;QUA;QUI;SEX;SAB
20192.02ADM12N.4N;PROEJA Adminstração;PROEJA Adminstração (Quarto Noturnno);Noite;132810,132811,132809,132807,132806,132808,132805,132812;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM12N.5N;PROEJA Adminstração;PROEJA Adminstração (Quinto Noturnno);Noite;132814,132817,132813,134376,132816,132818,132815,132819;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM12N.6N;PROEJA Adminstração;PROEJA Adminstração (Sexto Noturnno);Noite;132825,132821,132820,132822,132823,132826,132824;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM12N.7N;PROEJA Adminstração;PROEJA Adminstração (Setimo Noturnno);Noite;132828,132827,132829,132830,132831,132832,132833;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM20N.2N;Administração;Administração (Segundo Noturnno);Noite;132928,132930,132932,132929,132931;1-12;1-12;1-12;1-12;1-12;12-16
20192.02AGN21N.6N;Agronegócio;Agronegócio (Sexto Noturnno);Noite;132905,132908,132904,132906,132903,134077,132907;1-12;1-12;1-12;1-12;1-12;12-16
20192.02AGP11M.1M;Técnico em Agropecuária;Técnico em Agropecuária (Primeiro Periodo);Manhã;132689,132688,132691,132687,132690;7-16;7-16;7-16;7-16;7-16;1-16
20192.02AGP11M.2M;Técnico em Agropecuária;Técnico em Agropecuária (Segundo Periodo);Manhã;133305,133304,133303,133306,133307;7-16;7-16;7-16;7-16;7-16;1-16
20192.02AGP11M.3M;Técnico em Agropecuária;Técnico em Agropecuária (Terceiro Periodo);Manhã;132752,132753,132754,132756,132755,132757;7-16;7-16;7-16;7-16;7-16;1-16
20192.02AGP11M.4M;Técnico em Agropecuária;Técnico em Agropecuária (Quarto Periodo);Manhã;132758,132759,132761,132762,132760;7-16;7-16;7-16;7-16;7-16;1-16
20192.02AGP11V.1V;Técnico em Agropecuária;Técnico em Agropecuária (Primeiro Periodo);Tarde;132694,132693,132696,132692,132695;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02AGP11V.2V;Técnico em Agropecuária;Técnico em Agropecuária (Segundo Periodo);Tarde;133300,133299,133298,133301,133302;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02AGP11V.3V;Técnico em Agropecuária;Técnico em Agropecuária (Terceiro Periodo);Tarde;132763,132764,132765,132767,132766,132768;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02AGP11V.4V;Técnico em Agropecuária;Técnico em Agropecuária (Quarto Periodo);Tarde;132769,132770,132772,132773,132771;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02AGR20I.2M;Agronomia;Agronomia (Segundo Periodo);Manhã;132933,132934,132935,132936,132937,132938,132939;7-16;7-16;7-16;7-16;7-16;1-16
20192.02AGR20I.4V;Agronomia;Agronomia (Quarto Periodo);Tarde;133016,132940,132941,133017,132943,133006,132944,132945;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02AGR20I.6M;Agronomia;Agronomia (Sexto Periodo);Manhã;132952,132951,132948,132950,132947,132946,132949,132953;7-16;7-16;7-16;7-16;7-16;1-16
20192.02AGR20I.8V;Agronomia;Agronomia (Oitavo Periodo);Tarde;132957,132956,132960,132958,132954,132955;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02AGR20I.ESPECIAL;Agronomia;Agronomia (Turma Especial);Integral;135056,132909,132911,133892,132983,132966,132910;13-16;13-16;13-16;13-16;13-16;1-16
20192.02AGR20I.FERIAS;Agronomia;Agronomia (Turma de Ferias);Integral;132150;13-16;13-16;13-16;13-16;13-16;1-16
20192.02ALI11N.1N;Técnico em Alimentos;Técnico em Alimentos (Primeiro Noturno);Noite;132698,132701,132702,132703,132697,132699,132700;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ALI11N.2N;Técnico em Alimentos;Técnico em Alimentos (Segundo Noturnno);Noite;133177,133179,133180,133178,133175;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ALI11N.3N;Técnico em Alimentos;Técnico em Alimentos (Terceiro Noturnno);Noite;132778,132776,132775,132777,132774;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ALI11N.4N;Técnico em Alimentos;Técnico em Alimentos (Quarto Noturnno);Noite;132784,132782,132781,132783,132780,132779;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ALI20I.2M;Engenharia de Alimentos;Engenharia de Alimentos (Segundo Periodo);Manhã;133322,133323,133324,133325,133326,133327;7-16;7-16;7-16;7-16;7-16;1-16
20192.02ALI20I.4V;Engenharia de Alimentos;Engenharia de Alimentos (Quarto Periodo);Tarde;133328,133329,133331,133330,133332,133333;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02ALI20I.6M;Engenharia de Alimentos;Engenharia de Alimentos (Sexto Periodo);Manhã;133335,133336,133334,133337,133339,133338;7-16;7-16;7-16;7-16;7-16;1-16
20192.02ALI20I.8V;Engenharia de Alimentos;Engenharia de Alimentos (Oitavo Periodo);Tarde;133343,133344,133342,133341,133340;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02ALI20I.ESPECIAL;Engenharia de Alimentos;Engenharia de Alimentos (Turma Especial);Integral;133348;13-16;13-16;13-16;13-16;13-16;1-16
20192.02BIO22N.2N;Ciências Biológicas (licenciatura);Ciências Biológicas (licenciatura) (Segundo Noturnno);Noite;133552,133396,133397,133398,133399;1-12;1-12;1-12;1-12;1-12;12-16
20192.02BIO22N.4N;Ciências Biológicas (licenciatura);Ciências Biológicas (licenciatura) (Quarto Noturnno);Noite;133404,133400,133401,133402,133403;1-12;1-12;1-12;1-12;1-12;12-16
20192.02BIO22N.6N;Ciências Biológicas (licenciatura);Ciências Biológicas (licenciatura) (Sexto Noturnno);Noite;133405,133406,133408,133407;1-12;1-12;1-12;1-12;1-12;12-16
20192.02BIO22N.8N;Ciências Biológicas (licenciatura);Ciências Biológicas (licenciatura) (Oitavo Noturnno);Noite;133411,133410,133412,133409;1-12;1-12;1-12;1-12;1-12;12-16
20192.02BIO23I.2M;Ciências Biológicas (bacharelado);Ciências Biológicas (bacharelado) (Segundo Periodo);Manhã;133027,133026,133028,133029,133030,133031,133032;7-16;7-16;7-16;7-16;7-16;1-16
20192.02BIO23I.4V;Ciências Biológicas (bacharelado);Ciências Biológicas (bacharelado) (Quarto Periodo);Tarde;133034,133033,133035,133036,133037,133038;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02BIO23I.6M;Ciências Biológicas (bacharelado);Ciências Biológicas (bacharelado) (Sexto Periodo);Manhã;133044,133041,133040,133042,133039,133043;7-16;7-16;7-16;7-16;7-16;1-16
20192.02BIO23I.8V;Ciências Biológicas (bacharelado);Ciências Biológicas (bacharelado) (Oitavo Periodo);Tarde;133046,133045,133047;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02BIO23I.ESPECIAL;Ciências Biológicas (bacharelado);Ciências Biológicas (bacharelado) (Turma Especial);Integral;133018;13-16;13-16;13-16;13-16;13-16;1-16
20192.02BTC11N.1N;Técnico em Biotecnologia;Técnico em Biotecnologia (Primeiro Noturno);Noite;132728,132732,132729,132733,132731,132730;1-12;1-12;1-12;1-12;1-12;12-16
20192.02BTC11N.2N;Técnico em Biotecnologia;Técnico em Biotecnologia (Segundo Noturnno);Noite;133205,133201,133202,133200,133203,133204;1-12;1-12;1-12;1-12;1-12;12-16
20192.02BTC11N.3N;Técnico em Biotecnologia;Técnico em Biotecnologia (Terceiro Noturnno);Noite;132868,132869,132866,132865,132867;1-12;1-12;1-12;1-12;1-12;12-16
20192.02BTC11N.4N;Técnico em Biotecnologia;Técnico em Biotecnologia (Quarto Noturnno);Noite;132874,132873,132870,132872,132871;1-12;1-12;1-12;1-12;1-12;12-16
20192.02CDC20I.2M;Ciência da Computação;Ciência da Computação (Segundo Periodo);Manhã;133056,133057,133058,133060,133059,133061;7-16;7-16;7-16;7-16;7-16;1-16
20192.02CDC20I.4V;Ciência da Computação;Ciência da Computação (Quarto Periodo);Tarde;133062,133063,133064,133091,133066,133065,133067;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02CDC20I.6M;Ciência da Computação;Ciência da Computação (Sexto Periodo);Manhã;133092,133072,133070,133069,133093,133071,133068;7-16;7-16;7-16;7-16;7-16;1-16
20192.02CDC20I.8V;Ciência da Computação;Ciência da Computação (Oitavo Periodo);Tarde;133085,133083,133084,133082;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02CDC20I.ESPECIAL;Ciência da Computação;Ciência da Computação (Turma Especial);Integral;133019;13-16;13-16;13-16;13-16;13-16;1-16
20192.02CIV20I.2M;Engenharia Civil;Engenharia Civil (Segundo Periodo);Manhã;133352,133353,133354,133355,133356,133357,133358;7-16;7-16;7-16;7-16;7-16;1-16
20192.02CIV20I.4V;Engenharia Civil;Engenharia Civil (Quarto Periodo);Tarde;133363,133361,133360,133364,133362,133365;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02CIV20I.6M;Engenharia Civil;Engenharia Civil (Sexto Periodo);Manhã;133370,133368,133371,133367,133366,133369;7-16;7-16;7-16;7-16;7-16;1-16
20192.02CIV20I.8V;Engenharia Civil;Engenharia Civil (Oitavo Periodo);Tarde;133377,133378,133372,133374,133375,133376,133373;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02CIV20I.ESPECIAL;Engenharia Civil;Engenharia Civil (Turma Especial);Integral;133385,133379,133387,133386;13-16;13-16;13-16;13-16;13-16;1-16
20192.02COT11N.1N;Técnico em Contabilidade;Técnico em Contabilidade (Primeiro Noturno);Noite;132709,132704,132706,132708,132707,132705;1-12;1-12;1-12;1-12;1-12;12-16
20192.02COT11N.2N;Técnico em Contabilidade;Técnico em Contabilidade (Segundo Noturnno);Noite;133181,133182,133185,133184,133183;1-12;1-12;1-12;1-12;1-12;12-16
20192.02COT11N.3N;Técnico em Contabilidade;Técnico em Contabilidade (Terceiro Noturnno);Noite;132786,132789,132788,132785,132787;1-12;1-12;1-12;1-12;1-12;12-16
20192.02EAM20I.2M;Engenharia Ambiental;Engenharia Ambiental (Segundo Periodo);Manhã;133211,133212,133213,133214,133215,133216,133217;7-16;7-16;7-16;7-16;7-16;1-16
20192.02EAM20I.4V;Engenharia Ambiental;Engenharia Ambiental (Quarto Periodo);Tarde;133218,133219,133220,133221,133222,133223;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02EAM20I.6M;Engenharia Ambiental;Engenharia Ambiental (Sexto Periodo);Manhã;133225,133230,133228,133227,133226,133229;7-16;7-16;7-16;7-16;7-16;1-16
20192.02EAM20I.8V;Engenharia Ambiental;Engenharia Ambiental (Oitavo Periodo);Tarde;133237,133236,133233,133232,133234,133235,133231;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02EAM20I.ESPECIAL;Engenharia Ambiental;Engenharia Ambiental (Turma Especial);Integral;133238,133245;13-16;13-16;13-16;13-16;13-16;1-16
20192.02EDI11N.1N;Técnico em Edificações;Técnico em Edificações (Primeiro Noturno);Noite;132734,132735,132736,132738,132737,132739;1-12;1-12;1-12;1-12;1-12;12-16
20192.02EDI11N.2N;Técnico em Edificações;Técnico em Edificações (Segundo Noturnno);Noite;133206,133207,133208,133209,133210;1-12;1-12;1-12;1-12;1-12;12-16
20192.02EDI11N.3N;Técnico em Edificações;Técnico em Edificações (Terceiro Noturnno);Noite;132875,132876,132877,132878,132879;1-12;1-12;1-12;1-12;1-12;12-16
20192.02EDI11N.4N;Técnico em Edificações;Técnico em Edificações (Quarto Noturnno);Noite;132880,132881,132882,132883,132884,132885;1-12;1-12;1-12;1-12;1-12;12-16
20192.02EDI12N.6N;Técnico em Edificações;Técnico em Edificações (Sexto Noturnno);Noite;133312,133313,133314,133311,133309,133308;1-12;1-12;1-12;1-12;1-12;12-16
20192.02EDI12N.7N;Técnico em Edificações;Técnico em Edificações (Setimo Noturnno);Noite;133319,133320,133316,133310,133321,133317,133315;1-12;1-12;1-12;1-12;1-12;12-16
20192.02INF11N.1N.-;Técnico em Informática;Técnico em Informática (Primeiro Noturno);Noite;132711,132712,132713,132714,132710;1-12;1-12;1-12;1-12;1-12;12-16
20192.02INF11N.2N.-;Técnico em Informática;Técnico em Informática (Segundo Noturnno);Noite;133296,133295,133292,133293,133297,133294;1-12;1-12;1-12;1-12;1-12;12-16
20192.02INF11N.3N.-;Técnico em Informática;Técnico em Informática (Terceiro Noturnno);Noite;132834,132836,132837,132835,132839,132838;1-12;1-12;1-12;1-12;1-12;12-16
20192.02INF11N.4N.-;Técnico em Informática;Técnico em Informática (Quarto Noturnno);Noite;132840,132841,132843,132842;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI10N.1N;Técnico em Química;Técnico em Química (Primeiro Noturno);Noite;132718,132715,132720,132717,132719,132721,132716;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI10N.2N;Técnico em Química;Técnico em Química (Segundo Noturnno);Noite;133187,133191,133192,133189,133190,133186,133188;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI10N.3N;Técnico em Química;Técnico em Química (Terceiro Noturnno);Noite;132846,132849,132850,132847,132844,132848,132845;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI22N.2N;Química;Química (Segundo Noturnno);Noite;133413,133414,133415,134886,133416,133417,133418;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI22N.4N;Química;Química (Quarto Noturnno);Noite;133419,133567,133421,133422,133423;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI22N.6N;Química;Química (Sexto Noturnno);Noite;133425,133424,133428;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI22N.8N;Química;Química (Oitavo Noturnno);Noite;133431,133433,133430,133434,133429,133435;1-12;1-12;1-12;1-12;1-12;12-16
20192.02QUI22N.ESPECIAL;Química;Química (Turma Especial);Integral;133451,133436;13-16;13-16;13-16;13-16;13-16;1-16
20192.02QUI22N.FERIAS;Química;Química (Turma de Ferias);Integral;132162;13-16;13-16;13-16;13-16;13-16;1-16
20192.02SAM21N.2N;Saneamento Ambiental;Saneamento Ambiental (Segundo Noturnno);Noite;133457,133458,133459,133460,133461;1-12;1-12;1-12;1-12;1-12;12-16
20192.02SAM21N.4N;Saneamento Ambiental;Saneamento Ambiental (Quarto Noturnno);Noite;133462,133464,133463,133465,133466,133467;1-12;1-12;1-12;1-12;1-12;12-16
20192.02SAM21N.6N;Saneamento Ambiental;Saneamento Ambiental (Sexto Noturnno);Noite;133472,133471,133470,133468;1-12;1-12;1-12;1-12;1-12;12-16
20192.02SAM21N.ESPECIAL;Saneamento Ambiental;Saneamento Ambiental (Turma Especial);Integral;133438,133440,133439;13-16;13-16;13-16;13-16;13-16;1-16
20192.02SGT11N.1N;Técnico em Segurança do Trabalho;Técnico em Segurança do Trabalho (Primeiro Noturno);Noite;132727,132722,132726,132723,132725,132724;1-12;1-12;1-12;1-12;1-12;12-16
20192.02SGT11N.2N;Técnico em Segurança do Trabalho;Técnico em Segurança do Trabalho (Segundo Noturnno);Noite;133198,133194,133197,133199,133196,133193,133195;1-12;1-12;1-12;1-12;1-12;12-16
20192.02SGT11N.3N;Técnico em Segurança do Trabalho;Técnico em Segurança do Trabalho (Terceiro Noturnno);Noite;132854,132852,132851,132856,132855,132853,132857;1-12;1-12;1-12;1-12;1-12;12-16
20192.02SGT11N.4N;Técnico em Segurança do Trabalho;Técnico em Segurança do Trabalho (Quarto Noturnno);Noite;132859,132864,132858,132862,132860,132861,132863;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ZOO20I.2M;Zootecnia;Zootecnia (Segundo Periodo);Manhã;133479,133480,133481,133482,133483,133484,133485;7-16;7-16;7-16;7-16;7-16;1-16
20192.02ZOO20I.4V;Zootecnia;Zootecnia (Quarto Periodo);Tarde;133486,133488,133487,133489,133490,133491;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02ZOO20I.6M;Zootecnia;Zootecnia (Sexto Periodo);Manhã;133494,133498,133522,133496,133495,133493,133492;7-16;7-16;7-16;7-16;7-16;1-16
20192.02ZOO20I.8V;Zootecnia;Zootecnia (Oitavo Periodo);Tarde;133505,133503,133504,133501,133500,133502;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02ZOO20I.ESPECIAL;Zootecnia;Zootecnia (Turma Especial);Integral;133506,133509,133511,135687,133441;13-16;13-16;13-16;13-16;13-16;1-16
